0, 0, 0, 4095, 24, 4071, 42, 31
1, 0, 11, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 30
1, 0, 12, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 31
1, 0, 11, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 30
1, 0, 11, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 30
1, 0, 11, 2047, 194, 1853, 25, 34
0, 0, 0, 4095, 24, 4071, 42, 31
1, 0, 12, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 30
1, 0, 12, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 31
1, 0, 11, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 31
1, 0, 12, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 31
1, 0, 11, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 30
1, 0, 12, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 30
1, 0, 12, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 31
1, 0, 11, 2047, 194, 1853, 25, 33
0, 0, 0, 4095, 24, 4071, 42, 31
1, 0, 11, 2047, 194, 1853, 25, 33
